1.000000000000000000e+00,1.094837581924853920e+00,1.178735908636302732e+00,1.250856695786945583e+00,1.310479336311535681e+00,1.357008100494575764e+00,1.389978088304713699e+00,1.409059874522179623e+00,1.414062800246688179e+00,1.404936877898147696e+00,1.381773290676036270e+00
1.094837581924853920e+00,1.145558707643622665e+00,1.196280850660536021e+00,1.242267410662496907e+00,1.281084542681008909e+00,1.311404286312371381e+00,1.332626204644624890e+00,1.344814038935878253e+00,1.348861934937760632e+00,1.347063711738194058e+00,1.344803481487012675e+00
1.178735908636302732e+00,1.196280850660536021e+00,1.218564939069897157e+00,1.240852284224222224e+00,1.260192565711969026e+00,1.274903889187853467e+00,1.284313613426076639e+00,1.288712460652803315e+00,1.289510203592710180e+00,1.289653982177242808e+00,1.294396840443899910e+00
1.250856695786945583e+00,1.242267410662496907e+00,1.240852284224222224e+00,1.242393028163290225e+00,1.243939773603431886e+00,1.243715732285339604e+00,1.241021912945413197e+00,1.236220398202116266e+00,1.230818433723442018e+00,1.227648187412231140e+00,1.231057014041780251e+00
1.310479336311535681e+00,1.281084542681008909e+00,1.260192565711969026e+00,1.243939773603431886e+00,1.229471781724583712e+00,1.215012000402083236e+00,1.199851754502087031e+00,1.184340481170484072e+00,1.169903355774275733e+00,1.159067637576023602e+00,1.155416872888701096e+00
1.357008100494575764e+00,1.311404286312371381e+00,1.274903889187853467e+00,1.243715732285339604e+00,1.215012000402083236e+00,1.187025950687253362e+00,1.159048951768657965e+00,1.131400259672430630e+00,1.105396880325317577e+00,1.083307340064278312e+00,1.068232188271757366e+00
1.389978088304713699e+00,1.332626204644624890e+00,1.284313613426076639e+00,1.241021912945413197e+00,1.199851754502087031e+00,1.159048951768657965e+00,1.117935055369108088e+00,1.076829365284996287e+00,1.036987199720804442e+00,1.000538241623175617e+00,9.703740807402162494e-01
1.409059874522179623e+00,1.344814038935878253e+00,1.288712460652803315e+00,1.236220398202116266e+00,1.184340481170484072e+00,1.131400259672430630e+00,1.076829365284996287e+00,1.021008949351994710e+00,9.651945290012847734e-01,9.114897686757140738e-01,8.628203161569438784e-01
1.414062800246688179e+00,1.348861934937760632e+00,1.289510203592710180e+00,1.230818433723442018e+00,1.169903355774275733e+00,1.105396880325317577e+00,1.036987199720804442e+00,9.651945290012847734e-01,8.913009946439863773e-01,8.174107125782138494e-01,7.466455361851080941e-01
1.404936877898147696e+00,1.347063711738194058e+00,1.289653982177242808e+00,1.227648187412231140e+00,1.159067637576023602e+00,1.083307340064278312e+00,1.000538241623175617e+00,9.114897686757140738e-01,8.174107125782138494e-01,7.202101088798180673e-01,6.230105208239111736e-01
1.381773290676036270e+00,1.344803481487012675e+00,1.294396840443899910e+00,1.231057014041780251e+00,1.155416872888701096e+00,1.068232188271757366e+00,9.703740807402162494e-01,8.628203161569438784e-01,7.466455361851080941e-01,6.230105208239111736e-01,4.931505902785393025e-01
